sourceFrameIndex,ptsValue,ptsTimescale,durationValue,durationTimescale,phase,generation,historyReset,usedModel,publicMotionRequested,region,residual,regionPixels,temporalSupportPixels,temporalUnavailableReason,signedMeanNits,meanAbsoluteNits,rmsNits,maximumAbsoluteNits,temporalSignedMeanNits,temporalMeanAbsoluteNits,temporalRmsNits,temporalMaximumAbsoluteNits
13,13,30,1,30,panAndOcclusion,1,False,True,automatic,foreground,enhancedMinusOriginal,83520,83520,,-0.5884987154682934,3.9318568995876637,8.683669286228152,182.1587677001953,0.36628802069444993,0.6959194752928892,1.1810028501374952,23.55609130859375
13,13,30,1,30,panAndOcclusion,1,False,True,automatic,foreground,identityMinusOriginal,83520,83520,,-7.631373740399629e-09,2.1883582703455198e-07,7.409539035351461e-07,3.814697265625e-06,0.0,0.0,0.0,0.0
13,13,30,1,30,panAndOcclusion,1,False,True,automatic,newlyRevealedBackground,enhancedMinusOriginal,10440,0,no visible same-material predecessor,-0.17566033321626645,1.228076186483086,1.994278976273939,18.82339382171631,,,,
13,13,30,1,30,panAndOcclusion,1,False,True,automatic,newlyRevealedBackground,identityMinusOriginal,10440,0,no visible same-material predecessor,-1.9754029781882334e-09,1.3836575041633303e-07,4.1116982123522087e-07,1.9073486328125e-06,,,,
13,13,30,1,30,panAndOcclusion,1,False,True,automatic,newViewportBackground,enhancedMinusOriginal,3240,0,no visible same-material predecessor,0.3001583249848566,0.3001583249848566,0.3074270738562831,0.4690818786621094,,,,
13,13,30,1,30,panAndOcclusion,1,False,True,automatic,newViewportBackground,identityMinusOriginal,3240,0,no visible same-material predecessor,-4.0472289662302276e-10,2.3559778315540203e-08,7.375760433368139e-08,2.384185791015625e-07,,,,
14,14,30,1,30,panAndOcclusion,1,False,True,automatic,background,enhancedMinusOriginal,434880,421200,,-1.2583394042002725,1.9036454491305232,12.428041616715937,840.1563720703125,-0.17719570067660814,0.38123525469724334,2.352504960964011,197.726806640625
14,14,30,1,30,panAndOcclusion,1,False,True,automatic,background,identityMinusOriginal,434880,421200,,-1.2521571480879924e-10,4.3389889296726297e-08,1.8418294316865838e-07,1.9073486328125e-06,0.0,0.0,0.0,0.0
14,14,30,1,30,panAndOcclusion,1,False,True,automatic,foreground,enhancedMinusOriginal,83520,83520,,-1.0171065872485154,3.8894818523016164,9.007891873486678,170.47967529296875,-0.42860787178022197,0.6165489285746601,1.1974517972751346,22.182920932769775
14,14,30,1,30,panAndOcclusion,1,False,True,automatic,foreground,identityMinusOriginal,83520,83520,,-7.631373740399629e-09,2.1883582703455198e-07,7.409539035351461e-07,3.814697265625e-06,0.0,0.0,0.0,0.0
